[Zeit von];0 [TMZ in K];1 [TMZ in K];2 [TMZ in K];3 [TMZ in K];4 [TMZ in K];5 [TMZ in K];6 [TMZ in K];7 [TMZ in K];8 [TMZ in K];9 [TMZ in K];10 [TMZ in K];11 [TMZ in K];12 [TMZ in K];13 [TMZ in K];14 [TMZ in K];15 [TMZ in K];16 [TMZ in K];17 [TMZ in K];18 [TMZ in K];19 [TMZ in K];20 [TMZ in K];21 [TMZ in K];22 [TMZ in K];23 [TMZ in K];24 [TMZ in K];25 [TMZ in K];26 [TMZ in K];27 [TMZ in K];28 [TMZ in K];29 [TMZ in K];30 [TMZ in K];31 [TMZ in K];32 [TMZ in K];33 [TMZ in K];34 [TMZ in K]
09:15;0;0,001730077;0,003951233;0,006028895;0,011274373;0,014667314;0,022913895;0,030360878;0,038539019;0,046074322;0,053981382;0,208446912;0,212599232;0,217028832;0,221292941;0,225080377;0,235107484;0,239353399;0,248385125;0,334436993;0,365411609;0,409631978;0,410963789;0,415130509;0,418003441;0,420330911;0,424263759;0,42803976;0,431449876;0,433696372;0,438011882;0,442144614;0,447353103;0,458189074;0,482910897
09:30;0;0,001730077;0,003951233;0,006028895;0,011274373;0,014667314;0,020555934;0,027687655;0,036018078;0,043710431;0,0513218;0,110709784;0,212599232;0,217028832;0,221292941;0,225080377;0,235107484;0,239353399;0,248385125;0,26064174;0,365411609;0,407837068;0,410963789;0,415130509;0,418003441;0,420330911;0,424263759;0,42803976;0,431449876;0,433696372;0,438011882;0,442144614;0,447353103;0,451833086;0,482910897
09:45;0;0,001730077;0,003951233;0,006028895;0,011274373;0,014667314;0,018197976;0,025014435;0,033497129;0,041346544;0,048662231;0,056952112;0,200712165;0,217028832;0,221292941;0,225080377;0,233942919;0,239353399;0,248385125;0,253166528;0,339428221;0,389828711;0,410963789;0,415130509;0,418003441;0,420330911;0,424263759;0,42803976;0,431449876;0,433696372;0,438011882;0,442144614;0,447353103;0,451833086;0,482910897
10:00;0;0,001730077;0,003951233;0,006028895;0,011274373;0,014667314;0,018197976;0,02234122;0,030976183;0,03898266;0,046002654;0,052963967;0,065898857;0,217028832;0,221292941;0,225080377;0,229840083;0,239353399;0,243349402;0,253166528;0,27992747;0,389828711;0,410963789;0,415130509;0,418003441;0,420330911;0,424263759;0,42803976;0,431449876;0,433696372;0,438011882;0,442144614;0,447353103;0,451833086;0,478330498
10:15;0;0,001730077;0,003951233;0,006028895;0,011274373;0,014667314;0,018197976;0,02234122;0,028455238;0,036618769;0,043343073;0,048975815;0,060876825;0,155829662;0,221292941;0,225080377;0,229840083;0,239353399;0,243112141;0,253166528;0,278270047;0,330260864;0,410963789;0,415130509;0,418003441;0,420330911;0,424263759;0,42803976;0,431449876;0,433696372;0,438011882;0,442144614;0,447353103;0,451833086;0,47023025
10:30;0;0,001730077;0,003951233;0,006028895;0,011274373;0,014667314;0,018197976;0,02234122;0,025934295;0,034254882;0,040683495;0,044987674;0,055854781;0,081221592;0,221292941;0,225080377;0,229840083;0,239353399;0,243112141;0,253166528;0,278270047;0,307911055;0,399776844;0,415130509;0,418003441;0,420330911;0,424263759;0,42803976;0,431449876;0,433696372;0,438011882;0,442144614;0,447353103;0,451833086;0,47023025
10:45;0;0,001730077;0,003951233;0,006028895;0,011274373;0,014667314;0,018197976;0,02234122;0,025934295;0,031890995;0,038023914;0,040999517;0,050832745;0,062300363;0,104176467;0,225080377;0,229840083;0,239353399;0,243112141;0,253166528;0,273847261;0,307911055;0,329152132;0,415130509;0,418003441;0,420330911;0,424263759;0,42803976;0,431449876;0,433696372;0,438011882;0,442144614;0,447353103;0,451833086;0,47023025
11:00;0;0,00030844;0,000704429;0,00123038;0,002010006;0,002614903;0,003262025;0,003964971;0,004658572;0,005368418;0,008731556;0,006739855;0,012435619;0,008099936;0,04546101;0,046351427;0,047034335;0,053158521;0,053691379;0,059855122;0,060929068;0,06668651;0,066600193;0,067019385;0,067445269;0,067575956;0,068160371;0,068602414;0,06898746;0,069294641;0,069712233;0,070365152;0,071060845;0,071614785;0,07226007
11:15;0;0,00030844;0,000704429;0,00123038;0,002010006;0,002614903;0,003262025;0,003964971;0,004658572;0,005368418;0,006071981;0,006739855;0,007413585;0,008099936;0,011470251;0,046351427;0,047034335;0,053158521;0,053691379;0,059855122;0,060929068;0,06668651;0,066600193;0,067019385;0,067445269;0,067575956;0,068160371;0,068602414;0,06898746;0,069294641;0,069712233;0,070365152;0,071060845;0,071614785;0,07226007
11:30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11:45;0;0;0;0;0;0;0;0;0;0;0,007455894;0,008275989;0;0;0;0;0;0;0;0,019499823;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12:00;0;0,011721102;0,020852697;0,027967707;0,032240411;0,103116665;0,144488315;0,154911043;0,164695045;0,174826035;0,240163117;0,264625452;0,275136104;0,275631904;0,296413828;0,297880395;0,299315891;0,301682742;0,310941406;0,318976153;0,316796849;0,318485545;0,319346853;0,322640847;0,325972201;0,327599133;0,339997251;0,357732773;0,361029353;0,387816102;0,378207521;0,383385765;0,399136835;0,403613876;0,419453355
12:15;0;0,012934424;0,025056151;0,037175606;0,047368435;0,091478064;0,197884398;0,225231878;0,230209434;0,23516774;0,233885417;0,305857992;0,309728392;0,29841726;0,316863001;0,321284366;0,324125245;0,328713545;0,355934355;0,346197305;0,360757659;0,372846947;0,378576302;0,383024704;0,388776821;0,391326619;0,396387181;0,470900663;0,475649648;0,453385791;0,485057024;0,50286957;0,566710267;0,638259941;0,659574451
12:30;0;0,01094512;0,019887755;0,026842054;0,033899568;0,049968794;0,091561333;0,201115322;0,235221868;0,24105596;0,240162796;0,269607729;0,317626694;0,30224553;0,312093913;0,331945098;0,335580145;0,339283961;0,352281446;0,426020909;0,472454608;0,481247439;0,480173677;0,499892938;0,506733824;0,510863143;0,518340745;0,540638647;0,600235344;0,575473985;0,607578803;0,625941645;0,652154731;0,700156689;0,791438439
12:45;0;0,011683469;0,021633171;0,029853145;0,035600774;0,045719969;0,060713145;0,103160762;0,20629879;0,248695937;0,249044146;0,25067066;0,322845363;0,307109938;0,319477781;0,33650972;0,349133077;0,353778915;0,358401089;0,374318108;0,486713648;0,534006923;0,495590601;0,532041139;0,538258538;0,546258065;0,553515954;0,562031609;0,614888004;0,611190306;0,647991763;0,712193566;0,757618754;0,833184663;0,887622442
13:00;0;0,01133382;0,020834627;0,028458381;0,034171395;0,045513101;0,060888601;0,076610126;0,110382886;0,21530985;0,248412904;0,251837883;0,25817411;0,303506523;0,317619121;0,334387849;0,352342082;0,357365001;0,361958736;0,388972043;0,431282035;0,520661671;0,50457887;0,523757535;0,554560982;0,564999514;0,573439975;0,581487338;0,590187019;0,627992186;0,659326839;0,682661126;0,755391966;0,783342753;0,867529955
13:15;0;0,01133382;0,020834627;0,028458381;0,033746807;0,044134405;0,058530577;0,074465608;0,091013696;0,108907509;0,216082809;0,250447727;0,255339587;0,295835475;0,31169811;0,32855286;0,338945424;0,356660644;0,360813996;0,399133495;0,424657632;0,502983622;0,507867978;0,535153422;0,564398392;0,591351573;0,596373579;0,605998598;0,614550384;0,649129562;0,679612539;0,699668686;0,721800945;0,796428387;0,816846158
13:30;0;0,011460987;0,02112856;0,028952178;0,034560818;0,139488633;0,059894173;0,075287018;0,091123202;0,107692591;0,128122681;0,217571815;0,256385718;0,29200224;0,30384598;0,324180864;0,337551371;0,354078206;0,364778093;0,402544096;0,45789447;0,449325679;0,521230364;0,566147976;0,600384543;0,62640358;0,639825398;0,649368588;0,65854642;0,690897716;0,722201907;0,742411466;0,760221781;0,79154389;0,866223236
13:45;0;0,011805999;0,058682844;0,126491583;0,145875816;0,118138308;0,173734313;0,192544534;0,210928322;0,230069684;0,251295868;0,270183943;0,342727759;0,413570439;0,425547845;0,444014692;0,457462345;0,478457068;0,498530176;0,512172699;0,56762777;0,584612069;0,642729497;0,68942233;0,736253451;0,764443671;0,786900493;0,799225544;0,808911558;0,858051642;0,879719153;0,912275545;0,952284371;0,986495609;1,006723167
14:00;0;0,011805999;0,022210962;0,067101801;0,145875816;0,111854105;0,151180617;0,192544534;0,210928322;0,230069684;0,250798817;0,268793803;0,28883177;0,375198307;0,419898663;0,43548788;0,449261026;0,467421884;0,479282698;0,504328966;0,535087581;0,579626586;0,623918894;0,667471527;0,711177263;0,760068389;0,781854332;0,796984938;0,80756707;0,852179868;0,872433979;0,905646209;0,946000725;0,978679157;1,000080962
14:15;0;0,013737897;0,026112816;0,03710165;0,151553183;0,114682231;0,153114953;0,188847844;0,220144044;0,2392155;0,259339359;0,276267789;0,295644648;0,329590555;0,404544057;0,437650152;0,450507968;0,46698969;0,478775782;0,50549122;0,521106438;0,582097939;0,622196142;0,653991073;0,700689426;0,765891561;0,783554951;0,796071026;0,806799715;0,846397268;0,865876752;0,901239846;0,973626693;1,045619915;1,069185979
14:30;0;0,012707299;0,023759031;0,032985103;0,041951862;0,105584541;0,145180659;0,180686455;0,220139627;0,239210312;0,258837956;0,275711355;0,294760315;0,323692975;0,351690961;0,413505071;0,444980847;0,461000238;0,472763565;0,495891471;0,52909686;0,549546495;0,621016092;0,653050695;0,6860023;0,727196921;0,782507418;0,795624394;0,805952364;0,842742342;0,860681577;0,893748111;0,928948159;0,997576191;1,06171185
14:45;0;0,013512843;0,025691431;0,035372216;0,043754886;0,098527643;0,13449874;0,168997219;0,198013294;0,238943472;0,257964653;0,274287329;0,289866881;0,313906261;0,342270196;0,371376201;0,422461732;0,451077999;0,462670687;0,475264242;0,512024838;0,543017206;0,594083099;0,634443069;0,66485104;0,710417837;0,746979533;0,774985906;0,785202667;0,81761461;0,834175551;0,908729149;0,932425336;0,983464638;1,032593914
15:00;0;0,01450641;0,028918537;0,040941339;0,052091275;0,104222725;0,140604087;0,173051964;0,200563283;0,236994209;0,267633584;0,286169286;0,302747162;0,32176451;0,350351527;0,379771901;0,407444538;0,459374627;0,471257096;0,484194721;0,510431401;0,706227868;0,754650338;0,795688324;0,833104987;0,881685517;0,924182936;0,966772623;0,980677327;1,014696923;1,035429845;1,072064722;1,144289176;1,201450641;1,232258197
