uuid,b,g,i_max,id,r,v_rated,x
1a77afda-35bc-4902-a32e-a3a8f3d1a88a,163.363006591797,0.0,195.0,NS_1,0.442999988794327,0.4,0.0722566023468971
b6c5b4cb-fc54-478c-9e57-0b5204e06120,191.636993408203,0.0,265.0,NS_3,0.253899991512299,0.4,0.0691149979829788
152c2e89-46ec-4b21-9cea-5c10420de37b,191.636993408203,0.0,265.0,NS_3,0.253899991512299,0.4,0.0691149979829788
e3a643fe-bba4-4a7f-83db-23b0e03c923c,191.636993408203,0.0,265.0,NS_3,0.253899991512299,0.4,0.0691149979829788
ec77a581-8148-4b2c-bb6a-3f7c24ebb93b,185.35400390625,0.0,235.0,NS_2,0.319999992847443,0.4,0.0691149979829788
0d7473a5-dd01-460f-a1ee-624d10f34c8e,185.35400390625,0.0,235.0,NS_2,0.319999992847443,0.4,0.0691149979829788
f24aa8ff-676a-4638-a1b4-4c16566079e8,191.636993408203,0.0,265.0,NS_3,0.253899991512299,0.4,0.0691149979829788
8bd8a653-39a7-420d-976d-68d9492601bd,163.363006591797,0.0,195.0,NS_1,0.442999988794327,0.4,0.0722566023468971
5373af9c-0365-498f-959d-80bf86bd9a26,191.636993408203,0.0,265.0,NS_3,0.253899991512299,0.4,0.0691149979829788
333e8b90-4af3-4385-a845-ce1e56549bad,163.363006591797,0.0,195.0,NS_1,0.442999988794327,0.4,0.0722566023468971
809a36fc-7f08-4800-8714-2b6607974a43,185.35400390625,0.0,235.0,NS_2,0.319999992847443,0.4,0.0691149979829788
a4a49bc8-ea2c-4728-8c40-d6863e46f042,163.363006591797,0.0,195.0,NS_1,0.442999988794327,0.4,0.0722566023468971
abbe9d99-e6b5-4958-9637-b3a36e3283ce,185.35400390625,0.0,235.0,NS_2,0.319999992847443,0.4,0.0691149979829788
a61bace6-0050-436a-8715-0e042a8582f6,191.636993408203,0.0,265.0,NS_3,0.253899991512299,0.4,0.0691149979829788
d03eee1c-0c11-41c4-90a3-2743ab894974,191.636993408203,0.0,265.0,NS_3,0.253899991512299,0.4,0.0691149979829788
0cbc7c1e-1146-40bc-a87e-a4293f1b8765,191.636993408203,0.0,265.0,NS_3,0.253899991512299,0.4,0.0691149979829788
cb8e491b-e99f-4a68-a0e0-dfa07b77ca7f,191.636993408203,0.0,265.0,NS_3,0.253899991512299,0.4,0.0691149979829788
ceb28bd4-0090-4920-bedc-4f66968729dc,191.636993408203,0.0,265.0,NS_3,0.253899991512299,0.4,0.0691149979829788
7895fb66-d867-4e4a-bab9-ce5165207321,163.363006591797,0.0,195.0,NS_1,0.442999988794327,0.4,0.0722566023468971
7e6f9030-73ff-4fcb-a384-f71820af1a41,185.35400390625,0.0,235.0,NS_2,0.319999992847443,0.4,0.0691149979829788
3b41ea67-4e64-466f-9932-712b23fcf7df,185.35400390625,0.0,235.0,NS_2,0.319999992847443,0.4,0.0691149979829788
64336228-e311-47a6-aa65-4e2883352109,163.363006591797,0.0,195.0,NS_1,0.442999988794327,0.4,0.0722566023468971
660acf3d-706b-4daa-83e7-af1edcb02804,191.636993408203,0.0,265.0,NS_3,0.253899991512299,0.4,0.0691149979829788
4503f215-7ded-4230-9f94-e8ce4f2560ab,191.636993408203,0.0,265.0,NS_3,0.253899991512299,0.4,0.0691149979829788
e5d110d3-321b-4726-bc51-e265f83891df,185.35400390625,0.0,235.0,NS_2,0.319999992847443,0.4,0.0691149979829788
b859db2f-036d-4697-887f-cb9445bc0814,191.636993408203,0.0,265.0,NS_3,0.253899991512299,0.4,0.0691149979829788
6d1930ba-b144-459f-9a7f-463c0a0f46b4,163.363006591797,0.0,195.0,NS_1,0.442999988794327,0.4,0.0722566023468971
1ede9038-2ae8-4794-839d-f60f70d50177,191.636993408203,0.0,265.0,NS_3,0.253899991512299,0.4,0.0691149979829788
caf07358-b134-46ae-a7f4-7c64d06ab25b,163.363006591797,0.0,195.0,NS_1,0.442999988794327,0.4,0.0722566023468971
dc2dafb1-dd6f-489e-9fb1-36d029b03980,163.363006591797,0.0,195.0,NS_1,0.442999988794327,0.4,0.0722566023468971
33bf42ab-01ba-493f-a92e-de302649b490,185.35400390625,0.0,235.0,NS_2,0.319999992847443,0.4,0.0691149979829788
04e8252c-c3f3-4a4e-a11a-a182e94c382e,191.636993408203,0.0,265.0,NS_3,0.253899991512299,0.4,0.0691149979829788
2440030d-910e-4a4b-ac70-15f09e34e23b,191.636993408203,0.0,265.0,NS_3,0.253899991512299,0.4,0.0691149979829788
12ccc9e0-9987-4c1c-b176-84574ab2d262,163.363006591797,0.0,195.0,NS_1,0.442999988794327,0.4,0.0722566023468971
6c4bc7e5-6510-43f2-b370-89e5426d8364,185.35400390625,0.0,235.0,NS_2,0.319999992847443,0.4,0.0691149979829788
f181cb5c-2234-49d5-9e3f-d21f14963074,163.363006591797,0.0,195.0,NS_1,0.442999988794327,0.4,0.0722566023468971
110964ab-decd-4f63-af13-dfe2ee499ba7,191.636993408203,0.0,265.0,NS_3,0.253899991512299,0.4,0.0691149979829788
37b03eb6-ef0f-48c2-ba36-e1a5ed1747b4,191.636993408203,0.0,265.0,NS_3,0.253899991512299,0.4,0.0691149979829788
f1974038-6ca4-4c43-8cf9-b9e6988b035c,163.363006591797,0.0,195.0,NS_1,0.442999988794327,0.4,0.0722566023468971
c435432c-3647-4b5b-96e1-ac1e32a546e4,185.35400390625,0.0,235.0,NS_2,0.319999992847443,0.4,0.0691149979829788
82bc6482-24eb-42dd-8dc3-e05b86696a22,191.636993408203,0.0,265.0,NS_3,0.253899991512299,0.4,0.0691149979829788
7482222e-f925-4004-abdd-0b69ef453d8d,191.636993408203,0.0,265.0,NS_3,0.253899991512299,0.4,0.0691149979829788
ad9a28fb-b6c5-447f-847f-14480a638bfc,191.636993408203,0.0,265.0,NS_3,0.253899991512299,0.4,0.0691149979829788
9f363635-277f-49ad-9d59-17ba6fe87989,163.363006591797,0.0,195.0,NS_1,0.442999988794327,0.4,0.0722566023468971
a63fd579-c35b-4870-9173-0fd383364c6f,185.35400390625,0.0,235.0,NS_2,0.319999992847443,0.4,0.0691149979829788
91bec055-7ab3-49f0-940d-f7399bbb129e,191.636993408203,0.0,265.0,NS_3,0.253899991512299,0.4,0.0691149979829788
763854f1-b1c6-44fb-a458-c7878ac026e5,163.363006591797,0.0,195.0,NS_1,0.442999988794327,0.4,0.0722566023468971
69cea08f-72d2-4f65-b4b9-ae0a137da20b,163.363006591797,0.0,195.0,NS_1,0.442999988794327,0.4,0.0722566023468971
5b2b259b-1155-4130-b119-afea37851952,191.636993408203,0.0,265.0,NS_3,0.253899991512299,0.4,0.0691149979829788
98d060f1-bde2-4649-92e9-c818ba66f474,163.363006591797,0.0,195.0,NS_1,0.442999988794327,0.4,0.0722566023468971
90499632-fb19-4b07-9726-8741307a2f77,163.363006591797,0.0,195.0,NS_1,0.442999988794327,0.4,0.0722566023468971
21efe2be-86c1-4d0c-ba01-f77b01632ddf,163.363006591797,0.0,195.0,NS_1,0.442999988794327,0.4,0.0722566023468971
fa60cbc7-5599-4409-b866-dc05a5b27235,185.35400390625,0.0,235.0,NS_2,0.319999992847443,0.4,0.0691149979829788
6f8f3927-ac51-4b7d-a23e-8e429949f345,185.35400390625,0.0,235.0,NS_2,0.319999992847443,0.4,0.0691149979829788
2ae4a009-1481-412f-aa25-9d74b23a60ce,163.363006591797,0.0,195.0,NS_1,0.442999988794327,0.4,0.0722566023468971
be6b1366-0282-427c-99fe-7ee0ae092652,185.35400390625,0.0,235.0,NS_2,0.319999992847443,0.4,0.0691149979829788
3124880e-a2af-42a1-be47-841a8176e7b6,185.35400390625,0.0,235.0,NS_2,0.319999992847443,0.4,0.0691149979829788
