uuid,day_type,quarter_hour_of_day,probability
0879ca00-9361-488f-9ed0-5c2d4f1514c5,saturday,36,0.37681159420289856
a3a96afd-0695-4656-951f-417e800da9e9,saturday,37,0.32592592592592595
4b7ec9c1-049d-432e-81d2-6e665035813b,saturday,38,0.46464646464646464
730bee05-5b0d-4658-a0c6-95a83c330baf,saturday,39,0.39204545454545453
2bbbdcf4-04d9-4ccd-8541-5c7b63f43846,saturday,40,0.4645161290322581
df71d64a-eff3-4640-b297-f3b27eca2312,saturday,41,0.3932038834951456
c90c7b89-bb36-4972-bae2-0dc8214bc6fa,saturday,42,0.45918367346938777
840316ad-081a-4767-87e5-58c478314a9f,saturday,43,0.5253623188405797
aec137eb-3a1c-46ad-942b-e051db3e3056,saturday,44,0.5072115384615384
24eb623c-d90a-4a47-8d1a-cd6f7a2fd2d7,saturday,45,0.5601374570446735
507fd83a-b8d7-4837-bbbf-e0ec00538ce8,saturday,46,0.46919431279620855
1fe6af0d-1b71-42da-9799-c294fe9c0108,saturday,47,0.49698795180722893
01dda006-6f50-4098-90ac-5fff32e0645f,saturday,48,0.5126811594202898
330b7d22-6831-4f1e-84f9-21d68f17c61d,saturday,49,0.5755395683453237
42d1bf0a-ffd6-4336-8fe8-6a1ee83979a1,saturday,50,0.5778894472361809
fb58460b-5ee3-4578-823a-da267b4a25fc,saturday,51,0.6122448979591837
a5829814-3088-44fe-aa3c-0a878c86bf41,saturday,52,0.5757575757575758
54c74f93-4729-4e8b-8e19-4e1005a5e703,saturday,53,0.5906976744186047
1252de44-3b35-4dd4-a7d0-44832e9d53bd,saturday,54,0.6237942122186495
1124f12a-0f56-46aa-b023-7447c040e0bf,saturday,55,0.6510416666666666
23b4fecb-4af0-484e-a81a-6eae2c257b81,saturday,56,0.5990675990675991
0fb32f11-f8b0-46d7-bef7-ebd0e5d4d509,saturday,57,0.6834862385321101
3f7d75b5-354c-4a55-8f0f-49f5c185e0aa,saturday,58,0.7129032258064516
23bc20e1-8d49-4185-b9f7-08d11f54f617,saturday,59,0.7295918367346939
62a08ae3-5012-4722-b813-37e6de6c00d5,saturday,60,0.7386363636363636
87192659-7b5f-4a0c-84b5-a041bd07577d,saturday,61,0.7029702970297029
98ad0ce0-74b4-4f07-b3d2-ea2bf8be4c7c,saturday,62,0.7272727272727273
7fa8773f-49c6-4000-8799-f3e5e4e15588,saturday,63,0.6867469879518072
a2588f52-c2c1-48f6-8da5-c17c901fb464,saturday,64,0.7891440501043842
a1cad9d1-c903-4845-84c3-e797501ae38d,saturday,65,0.7925311203319502
4796fe39-fb55-4bda-9d52-835f845e733d,saturday,66,0.7994505494505495
8234246d-d2af-4c0d-a410-6f5184a3acc1,saturday,67,0.8256880733944955
ae21b648-6b16-4b9b-949a-e474bad1dc25,saturday,68,0.849015317286652
9cd00fa5-f454-423a-b031-fe3380588f26,saturday,69,0.8778280542986425
f1342e18-4289-45e8-8794-cd01cba66afa,saturday,70,0.835
c189b735-a7c5-4700-8e62-065f5b23f14d,saturday,71,0.868421052631579
cfb2d06b-2f89-481e-8f32-e94e89b7f425,saturday,72,0.9043659043659044
14d239e8-eac0-4bdf-a49a-e3d462192e3f,saturday,73,0.8949771689497716
415235ae-a0b3-425a-8692-c2b034415cf8,saturday,74,0.9381443298969072
68f1b096-18c5-4a51-8df9-db7885230b1e,saturday,75,0.9060402684563759
39ba0b21-6e20-472e-b69c-08129f89989f,saturday,76,0.9567723342939481
1c231e79-3e62-40dd-afc8-7eaca6266d17,saturday,77,0.950354609929078
6a79de5c-ca83-4931-8a47-d8b64d0c2582,saturday,78,0.9519230769230769
e1e317fa-fed5-4a31-891f-0b3325aaa458,saturday,79,0.9612403100775194
6ff63e03-f1da-4cae-906f-9432c7c724c6,saturday,80,0.9561752988047809
0590ac91-561d-4d9f-becf-04489177a23c,saturday,81,0.9655172413793104
76671d70-11c4-435b-af01-0e16180fd997,saturday,82,0.9681528662420382
5e53d1c9-f583-4b88-95e3-c7a715a0b3ec,saturday,83,0.9512195121951219
cfd4833f-4caa-4c6b-a190-bc5abbfd559d,saturday,84,0.9902439024390244
4e01330e-52f4-432b-af4f-f8aefab1ec37,saturday,85,0.984375
cbd94683-c4f2-4b94-bc88-f4c0c50df39f,saturday,86,0.9906542056074766
05fa7ac5-0dc2-4979-a0f5-981ebeaea5ca,saturday,87,0.989010989010989
d75a2cfb-4953-4c34-9b3e-a11734b86ee8,saturday,88,0.9863636363636363
05489cc7-561f-499c-bcc1-b4a09691d8e2,saturday,89,0.978021978021978
18f59596-7e36-4ad4-835a-ca6e00a107d1,saturday,90,0.9939759036144579
954825e5-6879-4ee5-b7af-ed154b38917d,saturday,91,0.9365079365079365
06aa6a7e-2a0c-4ac5-a995-c7396cbe32b6,saturday,92,0.9824561403508771
ebc26830-70b6-40a2-a5b9-1e2965a32a8c,saturday,93,1.0
0028baa3-d316-4361-9ee1-146426416d37,saturday,94,0.9941176470588236
ae32392a-e5d9-44ed-a803-106d6bf0e77c,saturday,95,1.0
b7459022-ee83-439f-955d-ee055c76c3e7,sunday,0,0.25
12c92a43-4f63-42df-becb-65781fce7e1b,sunday,1,0.6666666666666666
36a4b169-00c1-4b6f-8c98-c936e2bfa733,sunday,2,0.16666666666666666
c8f2f9d3-a9f6-4817-b46a-40bf1260a3b5,sunday,3,0.08333333333333333
2c613181-369e-4a82-834b-c49ee2ab2dd6,sunday,4,0.0
4d002433-36b5-4dc3-adc7-da17b65492aa,sunday,5,0.5
23d52c21-c9e9-44cb-a3da-076f3dbd02af,sunday,6,0.0
156ef590-90c8-4bda-b0b0-e082170216db,sunday,7,0.0
b6ab0aa1-65d0-451a-9774-096de9ab0fa0,sunday,8,0.0
469ce7ec-0467-43b0-983b-e8f8f4047ff3,sunday,9,1.0
30da8ec6-9f20-4c19-ae67-fac816413f53,sunday,10,0.6666666666666666
0e33133a-73b5-4088-b033-f46714f1a980,sunday,11,0.5
3865effd-2d63-43a6-8169-7a062ca47880,sunday,12,0.0
bc537156-96a8-4789-a617-8cf800f69d59,sunday,13,0.0
627b0c18-bd6e-491f-972b-265b322c3875,sunday,14,0.0
52eac2c6-2fec-4c96-b55f-a37b5d049fce,sunday,15,0.0
ce06c6b1-1cd2-423b-a81c-2ea5782494f9,sunday,16,0.0
ae33915b-d373-4a2d-9a51-f8da2728007d,sunday,17,0.0
77f97174-17cd-47db-809c-697ff8f5dcb3,sunday,18,0.3333333333333333
10f3b75f-8283-401f-87db-eb820d22f127,sunday,19,0.5
d5a78f8d-8c92-4c4a-8fef-6a700dc0b3fb,sunday,20,0.0
177d89e8-a4b4-4fa4-8313-ef7e4874b080,sunday,21,1.0
b8963463-6fad-4272-980e-e516b98bb500,sunday,22,0.5
c9222627-ccfe-4782-8345-8c38dbf8ed88,sunday,23,0.3333333333333333
26a4cf33-36e9-4843-ac67-7428b484e6c5,sunday,24,0.3333333333333333
2644234f-b033-409a-b24e-a4054c92d528,sunday,25,1.0
7b76e0ea-45da-4789-b865-2af74e79a64d,sunday,26,0.5
40d882d4-ed1d-474a-8b4b-db38cde3599c,sunday,27,0.0
4306dcd6-3363-4dbf-bea1-e37e80bab65b,sunday,28,0.375
99556e5d-d26e-4c90-8003-ed57f8e1efe3,sunday,29,0.4666666666666667
33ef4854-16b4-4d19-a0f9-b00b6954f6c7,sunday,30,0.3333333333333333
00d65d7e-fd4f-44d0-a177-6e738afa5d45,sunday,31,0.375
74da018d-8a86-4038-bbf6-78e9cea231d6,sunday,32,0.5476190476190477
4c949940-d7eb-4882-9d1e-b8c431d3d301,sunday,33,0.2765957446808511
a4d9d517-ca86-42c4-8a1b-7c3e2c805d28,sunday,34,0.28888888888888886
82fb0c50-f715-4970-90a4-39f5f38f8766,sunday,35,0.3617021276595745
0c289bbb-a1ca-4681-8a68-fa4855779f63,sunday,36,0.3333333333333333
d11bd3b4-f8c7-4e38-98d1-d658ffc7e2dc,sunday,37,0.5172413793103449
d990a989-0024-4956-a5ff-124c3431e329,sunday,38,0.4125
df7e121d-2a33-4e4a-8017-49459ce77eca,sunday,39,0.3835616438356164
d0504e01-4af4-4397-8f49-3218d58963b7,sunday,40,0.5871559633027523
52050c8d-4233-4c33-ad6c-a51f748cdfbd,sunday,41,0.5909090909090909
134f58b6-73a1-4ec6-9961-ddf7babb1f04,sunday,42,0.49333333333333335
12764e43-d22b-4573-bf36-65e981e689ee,sunday,43,0.5428571428571428
c4e143d2-5e25-4ac7-875f-cfbb30d5aee6,sunday,44,0.4774774774774775
