uuid,day_type,quarter_hour_of_day,from,to,probability
579409e0-50dd-48a6-87c8-a7849834f94a,weekday,5,shopping,leisure,0.2
dfd32670-06d5-4773-afd9-444cb3df1e75,weekday,5,shopping,other,0.2
85e0762e-5eec-46e1-a4ce-1edf0b5d9d25,weekday,5,leisure,home,1.0
21fd99d6-2dea-4366-b7de-ae974b62fbaf,weekday,5,leisure,work,0
e55201fb-7ff4-4ee7-903f-7a91ad6b4129,weekday,5,leisure,shopping,0
05dceffc-626a-42a6-ab0f-ad2e22d92e64,weekday,5,leisure,leisure,0
3719e124-b8e8-4e6c-ba4e-a1d2b68d3b7d,weekday,5,leisure,other,0
e709ce67-3e55-4d22-ab62-f9f3605f2e98,weekday,5,other,home,0
a8a016aa-9b01-4221-ba11-92d9cfb0e927,weekday,5,other,work,0
147d520d-d6ae-4fb4-86b3-6eb6a746ca41,weekday,5,other,shopping,0
05e9ba3d-b70d-490c-94ab-c1f58044809f,weekday,5,other,leisure,0
b531c49b-cb7a-4141-96ad-de65027fe08c,weekday,5,other,other,1.0
8b40e8a1-154f-4e13-a1f2-62646839657f,weekday,6,home,home,0.2857142857142857
002b1f93-6018-4e1c-85c5-465993ffa156,weekday,6,home,work,0.5
35070e39-558e-4925-8b76-cf7fe8ce0663,weekday,6,home,shopping,0.07142857142857142
a05fe941-c3e3-4df1-81fb-a51f56cc81fa,weekday,6,home,leisure,0.14285714285714285
030679d3-ca06-46ac-b679-29f1bad7a64f,weekday,6,home,other,0
c9b310e1-d038-4d7c-bd91-0e7f75be1237,weekday,6,work,home,0.2
6e703597-6071-4283-8161-ed16e87b548d,weekday,6,work,work,0.2
a8e85f9d-8372-4e13-9072-0461f2dee87f,weekday,6,work,shopping,0.2
ed980b80-5049-4732-bbe7-143a7c9d78aa,weekday,6,work,leisure,0.2
c2b1a929-7f45-48c8-a369-39ee619ac28d,weekday,6,work,other,0.2
da562037-8f6d-4874-a4e5-3e93b12d1c42,weekday,6,shopping,home,0.2
606ebf68-8a2a-47b2-8cb2-5e2d2e048e7b,weekday,6,shopping,work,0.2
ccdb05e7-72e1-4050-b91b-93b8c0f43f8d,weekday,6,shopping,shopping,0.2
b29b6fab-9f8b-4908-8914-2df3918f18f4,weekday,6,shopping,leisure,0.2
1197a050-c0ca-42c1-9080-d6caa47d5621,weekday,6,shopping,other,0.2
a6c4f8a2-6acf-4b38-90c5-92515444713c,weekday,6,leisure,home,0
52aa655d-d5af-4226-9f45-e26a6c7ff9b1,weekday,6,leisure,work,0
9d3da711-376b-4293-a8c2-036b75782c1a,weekday,6,leisure,shopping,0
f1f53ee6-5f67-4e93-856c-8d0469f82b01,weekday,6,leisure,leisure,0
61b8dffd-d8fa-4e60-99c6-e6de4ec9476e,weekday,6,leisure,other,1.0
3a9a7faa-6fde-42a8-a78b-8472f94d2f24,weekday,6,other,home,0.5
cfe62784-799f-4670-870e-7f106085ee43,weekday,6,other,work,0
ecd74182-9e6b-45ba-b358-2ee3d39d645d,weekday,6,other,shopping,0
491ce66b-1fd8-414d-aefc-ad643cc557b3,weekday,6,other,leisure,0
d1027293-60a3-494e-94c2-2232a665e053,weekday,6,other,other,0.5
38b6bedc-d425-48e8-8942-9f4d08102c13,weekday,7,home,home,0
ce27e623-5396-4086-9f43-d7d5462f1ab7,weekday,7,home,work,1.0
ce260b27-f151-4841-a602-f5df5fcc2c08,weekday,7,home,shopping,0
0da87130-d140-42e5-846e-da33da76d36a,weekday,7,home,leisure,0
57f57af8-f496-471d-a9fe-b2bbca504464,weekday,7,home,other,0
7cc6e013-06a0-43da-b27d-207b67b28410,weekday,7,work,home,0.2
d01f1940-ca1c-46a7-9bd0-b9062a8f4090,weekday,7,work,work,0.2
5335a0ab-1c2a-476b-ae05-a9548c66998f,weekday,7,work,shopping,0.2
f9f94db2-997d-4c33-b5c4-ecea1fbdfc54,weekday,7,work,leisure,0.2
246a8572-ce62-4716-9f77-6567137feeb4,weekday,7,work,other,0.2
29166bd4-65b3-46e0-8477-94de96e6dd67,weekday,7,shopping,home,0.2
f7505180-b90e-4766-8ddf-2502689ef614,weekday,7,shopping,work,0.2
115faf17-b86a-4374-8dfa-50123cf5edd3,weekday,7,shopping,shopping,0.2
6bb224ef-1cab-4ec0-bc16-749e39f025e8,weekday,7,shopping,leisure,0.2
09b563fd-8477-4255-9de4-152f70462dca,weekday,7,shopping,other,0.2
60aaa0a0-a3d8-4f3e-a4e4-614536004801,weekday,7,leisure,home,0.2
26c071bd-df5b-45b4-8be0-8894db652b3e,weekday,7,leisure,work,0.2
2f00db75-2931-4e3c-a5f0-7426899166f8,weekday,7,leisure,shopping,0.2
6dfc2f33-9243-444e-a5dc-8adee3e8ea85,weekday,7,leisure,leisure,0.2
3d0dfcde-201b-43be-8fb3-dfc610aa3a65,weekday,7,leisure,other,0.2
2ac53a60-7268-4d7b-b831-cfb7ddf2553d,weekday,7,other,home,0.2
