uuid,day_type,minute_of_day,probability
d6eb0040-296c-458a-abf3-4119299b2cbc,weekday,385,0.003530334728033473
2bd754cc-7dbe-4d8c-b8cb-816c36cba715,weekday,386,4.903242677824268e-05
99a59356-d47b-476d-a48f-db024a7a6296,weekday,387,6.53765690376569e-05
f5d1ad40-e272-448b-b50e-38597386b07d,weekday,388,4.903242677824268e-05
a714e754-8229-4b6f-b508-7aaabc9b035e,weekday,389,4.903242677824268e-05
4c83b9f2-e693-479e-8a7d-202ed9ff7263,weekday,390,0.027752353556485355
f75688b6-72c5-4e6b-b725-f996b40d2808,weekday,391,1.6344142259414225e-05
3640264c-b898-4833-9eb6-c96f3f7a762e,weekday,392,9.806485355648535e-05
55ecb2af-67cc-4969-b66b-10bc6cc7100d,weekday,393,9.806485355648535e-05
d990486c-b04b-4340-8ee2-17cd4b18de1d,weekday,394,3.268828451882845e-05
6e34f41f-580e-4850-806f-113a5099c8b6,weekday,395,0.004494639121338912
a319f26d-8731-42f8-bad4-9028959d11d8,weekday,396,3.268828451882845e-05
404c09ca-ee36-4ec1-aac5-ed401906e77f,weekday,397,4.903242677824268e-05
12ea5c09-1ef0-4f8b-ac9f-ad7d97838a28,weekday,398,4.903242677824268e-05
82ba2a94-71fc-4625-aa79-64c6d0e94914,weekday,399,8.172071129707113e-05
fed5aad1-47a7-4c6b-ac05-ae2dab0cab5b,weekday,400,0.008433577405857741
a9d6fa74-30c3-45a2-aafb-b89afcb987d2,weekday,402,9.806485355648535e-05
2883fdf5-69e5-4a2a-a945-389a2373f564,weekday,403,0.00016344142259414225
a90915f9-abe9-452e-9099-47d42a06395b,weekday,404,8.172071129707113e-05
3f14180a-a965-4e25-a030-10f36d3e7f27,weekday,405,0.016834466527196654
c590eb13-0ea2-4caa-b9c4-4c5042d9e629,weekday,406,3.268828451882845e-05
83b20ccb-6f35-4c07-a05f-cd24415d17c1,weekday,407,4.903242677824268e-05
957eb19a-f387-49c5-824b-57835b50a6b6,weekday,408,0.00014709728033472804
6bcaaf4b-4b2a-406e-be97-22ed83051659,weekday,409,4.903242677824268e-05
fb87551f-e973-46f8-86a0-e5bb9137cf7f,weekday,410,0.009920894351464435
4d6bc933-c2af-462c-b239-3d9175f32347,weekday,411,1.6344142259414225e-05
1c845ec3-273b-4631-aa0b-4c4b8f7b55be,weekday,412,9.806485355648535e-05
bd6570b5-5972-45c7-8d16-d1f0f0907a52,weekday,413,0.00011440899581589958
78558f35-485e-49b8-af0f-6e3b23a9ae9d,weekday,414,3.268828451882845e-05
76c7bb82-6680-4e08-b27b-0142f0a5f4b1,weekday,415,0.0048378661087866105
b5eb5289-b76c-4734-ae22-8d9616ea4d62,weekday,416,6.53765690376569e-05
73e81b14-ab69-4415-bec4-dbb5794929a3,weekday,417,0.00011440899581589958
5989d1f9-b013-40cd-ae09-05f8e86a9b40,weekday,418,8.172071129707113e-05
774bc3ce-ffde-4c9f-a3f8-459cab6c652e,weekday,419,6.53765690376569e-05
72e630ac-e5e4-4089-b780-556342dc375b,weekday,420,0.04324660041841004
